,title,price,address,township,car_boxes,rooms,bathroms,squareM,description
0,bonita vista y privacidad,10700.0,"ignacio manuel altamirano 130 san rafael, cuauhtemoc",cuauhtemoc,1.0,1.0,1.0,50.0, excelente departamento en una ubicacion muy centrica a pocas cuadras de avenidas principales como reforma insurgentes y circuito interior consta de 1 recamara 1 baño completo estancia sala comedor cocina integral area para centro de lavado un lugar de estacionamiento techado fijo no se estorba con ningun vecino ubicado en 5to piso el edificio cuenta con 2 elevadores con acceso inteligente con huella digital o tarjeta el departamento no comparte muros con ningun vecino y no hay vecino arriba vigilancia las 24 horas y camaras el precio incluye mantenimiento y servicio de agua los demas consumos son aparte y estan individualizados se podria aceptar una mascota pequeña 
1,renta departamento tres recamaras en sendero a  2 min centro comercial santa fe,25500.0,"santa fe cuajimalpa, cuajimalpa de morelos",cuajimalpa,0.0,3.0,3.0,164.0, departamento en residencial sendero a 5 min del hospital abc centro comercial santa fe y parque la mexicana 164 m2 3 recamaras la principal con vestidor y baño 3 baños y medio sala comedor duela laminada en pisos de sala comedor y recamaras desayunador cocina integral cubierta de granito sala de tv cuarto de servicio con baño completo 2 estacionamientos bodega patio de servicio con calentador y lavadero vigilancia 24 hrs amenidades piscina techada jacuzzi 2 gimnasios 2 salones de jovenes 2 salones de adultos salon de baile salon de usos multiples ludoteca salon de fiestas asoleadero descubierto vestidores area de masaje con descanso sauna y vapor baños y regaderas cancha de squash area de juegos infantiles 2 areas de asadores mantenimiento incluido easybroker id eb cv8205 
2,renta departamento en la condesa,17000.0,"zamora 69 condesa, cuauhtemoc",cuauhtemoc,1.0,2.0,1.0,107.0, precioso inmejorable ubicacion en perfecto estado y muy iluminado amplia estancia sala y comedor espacios generosos y mucha luz medio baño cocina integral 2 recamaras 1 baño completo area de lavado y cuarto de servicio puede ser usado para otras necesidades del hogar 1 estacionamiento portero mantenimiento incluido en precio de renta 
3,rento departamento cuajimalpa cerca de santa fe,12000.0,"coahuila 244 cuajimalpa, cuajimalpa de morelos",cuajimalpa,1.0,2.0,2.0,110.0, excelente departamento en calle coahuila en cuajimalpa no se aceptan roomimgs consta de dos recamaras dos baños un estacionamiento amplia sala comedor cocina equipada area de lavado cuarto de servicio remodelado piso laminado nuevo persianas nuevas se renta por año completo el departamento se encuentra en el cuarto piso el edificio cuenta con elevador excelente vigilancia las 24 horas muy buen mantenimiento informes 
4,renta departamento polanco,35000.0,"ampliacion granada, miguel hidalgo",miguel hidalgo,2.0,3.0,2.0,125.0, estrena departamento en neuchatel torre a impecable encortinado ubicado en 5to nivel calientito con oerientacioin hacia lago andromaco cuenta con iluminada estancia cocina abierta area de lavado tipo americano medio baño de visitas 3 recamaras la principal con vestidor y baño las otras dos comparten baño y cuentan con closet area de tv 2 lugares de estacionamiento fijos el desarrollo simplement espectacular amenidades como gym alberca techada vestidores salon de jovenes y adultos ludoteca 2 salones de eventos y area de mascotas estricta vigilancia elevadores inteligentes agenda tu cita easybroker id eb jj2847 
5,extraordinario departamento  en venta o renta en miguel hidalgo,18000.0,"granada, miguel hidalgo",miguel hidalgo,1.0,2.0,1.0,60.0, hermoso departamento en venta o renta amueblado en una de las zonas mas elegantes y seguras de la colonia granada agradables espacios e iluminacion cuenta con 2 recamaras 1 baño 1 2 1 estacionamiento no fijo tiene una excelente ubicacion alrededor de la zona no pierda la oportunidad de adquirir esta propiedad mantenimiento incluido easybroker id eb fq0739 
6,plaza carso: amueblado de 3 recamaras muy lindo,58000.0,"lago zurich 245 ampliacion granada, miguel hidalgo",miguel hidalgo,2.0,3.0,3.0,121.0, precioso departamento amueblado 121 m2 3 recamaras 2 baños completos baño de visitas area de lavado linda cocina abierta muy luminoso bien decorado acabados de lujo 2 cajones de estacionamiento completo conjunto de amenidades vigilancia 24 horas estacionamiento para visitas acceso directo a la plaza mantenimiento incluido en la renta solo se renta para periodos de larga estancia 
7,"renta departamento, residencial puerta coyoacan, b. juarez",20000.0,"popocatepetl 187 santa cruz atoyac, benito juarez",benito juarez,2.0,3.0,2.0,93.0, lindo departamento en 5to piso con elevador exterior con balcon en la estancia que da a av cuauhtemoc cocina abierta a la estancia con barra desayunador tres recamaras la principal con baño y vestidor un segundo baño para recamaras 2 y 3 y medio baño de visitas en la estaancia el depto cuenta con espacios iluminados area de lavado y 2 estacionamientos fijos e independientes bodega areas comunes carril de nado salon de belleza salas de juntas salon de eventos para 80 personas terraza con cafeteria juegos infantiles ludoteca con servicio de nana area de videojuegos fuera de los alimentos y el salon de belleza todo esta incluido en el mantenimiento estricta seguridad las 24 hrs recepcion con sala de espera la renta incluye mantenimiento 
8,renta departamento amueblado en polanco,34000.0,"ampliacion granada, miguel hidalgo",miguel hidalgo,2.0,3.0,2.0,150.0, excelente departamento ubicado en la zona nueva de polanco cercano a vias rapidas de comunicacion confortables e iluminados espacios cuenta con dos lugares de estacionamiento techados noveno piso estancia sala comedor con cocina integral equipada que se incorpora a la estancia hall de distribucion a las tres recamaras la principal con baño las otras comparten el otro baño completo balcon esta totalmente amueblado amenidades como alberca gym sala de cine salon de eventos agende su cita 
9,departamento venta o renta en club residencial bosques,68000.0,"bosques de las lomas, cuajimalpa de morelos",cuajimalpa,4.0,3.0,3.0,305.0, vive en lujoso conjunto residencial ubicado en bosques de las lomas en un espectacular terreno de 84 000 m2 rodeado de 69 000 m2 de areas libres diseñado por humberto artigas sordo madaleno y kdm el proyecto y su casa club cuentan con un increible urbanismo y jardineria asi como con un sistema integral de seguridad con estricta vigilancia las 24 horas precioso departamento 305m2 3 recamaras 3 5 baños sala comedor family baños de marmol vestidor en cada recamara la recamara principal con doble vestidor areas comunes alberca gimnasio lounge en la misma torre casa club salon de adultos salon de fiestas area de juegos para niños ludoteca capilla ring de boxeo canchas de futbol de padel tenis golfito canchas de volley ball granja tombling area de asadores y pista para correr easybroker id eb gz6213 
